FarmNm_CH,FarmNm_EN,EnglishNameSource,County,Township,Address_CH,HasCafe,HasWorkshop,HasRestaurant,NearestStopName,NearestStopDistanceMeters,Routes,Notes
二崎生態休閒農場,,,63000,北投區,大屯里復興三路355巷39號,False,False,False,大彎,208.0,小6,
慈音山莊休閒農場,,,63000,文山區,老泉街26巷11-2號,False,False,False,慈音山莊,71.0,小11,
日月滿休閒農場,,,63000,士林區,平等里平菁街150號,False,False,False,大坪尾,166.0,303,
杏花林休閒農場,,,63000,文山區,老泉街45巷30號,False,False,False,杏花林(老泉里),25.0,貓空右線,
柏泰園休閒農場,,,63000,北投區,立賢路 77 號,False,False,False,北投垃圾焚化廠,145.0,550,very little public info exists for this farm
梅居休閒農場,,,63000,士林區,平等里平菁街43巷99號,False,False,True,內寮,299.0,小19,restaurant: has an on-site vegetarian restaurant
清香休閒農場,,,63000,內湖區,大湖街206號,False,True,False,興善宮,,,workshop: official gov description confirms DIY. Nearest stop confirmed by Leon 2026-09-20: 興善宮 (Xingshan Temple) - routes serving this stop still need to be filled in.
白石森活休閒農場,White Rock Organic Farm,unverified — from own site title,63000,內湖區,碧山路58號,False,False,False,石崁,176.0,小2,
福田園教育休閒農場,,,63000,士林區,菁山路131巷18號,True,False,False,衛星電台,340.0,303,"cafe: has an on-site cafe ""楓咖啡"" per outside sources"
老泉養生休閒農場,,,63000,文山區,老泉街26巷12號,False,False,True,大春山莊,354.0,小11,restaurant: own description mentions creative dining
鄉村休閒農場,,,63000,內湖區,大湖街206號,False,True,False,大邱田,276.0,小3,workshop: official gov description confirms DIY
仙湖休閒農場(仙湖農場),Fairy Lake Leisure Farm,official — from government dataset,67000,東山區,南勢村1鄰賀老寮6-2號,True,False,True,內埔仔,703.0,黃7,
南元休閒農場,,,67000,柳營區,果毅里南湖25號,False,False,False,南元農場,262.0,黃2,own site's homepage didn't show amenity detail
吉園休閒農場,,,67000,麻豆區,南勢里總爺104-1號,False,False,False,麻豆總爺護理之家,322.0,橘10-1,no web presence found
大坑休閒農場,DaKeng Leisure Farm,from own site title,67000,新化區,大坑里82號,False,False,True,大坑休閒農場,49.0,綠13,restaurant: confirmed on own site
臺南鴨莊休閒農場,,,67000,官田區,渡拔里三塊厝178-1號,False,True,True,渡子頭,55.0,橘4,workshop/restaurant: confirmed on own site
走馬瀨休閒農場,,,67000,大內區,二溪里唭子瓦60號,False,True,True,其子瓦(舊社1),110.0,橘21,workshop/restaurant: confirmed on own site
關子嶺開心休閒農場,,,67000,白河區,關嶺里8鄰南寮19之16號,False,False,False,坪頂三龍宮,359.0,黃12-1,site unreachable (expired SSL cert)
九斗休閒農場,,,68000,新屋區,九斗里五谷路205號,False,True,False,九斗合作農場,21.0,T602,workshop: own site confirms DIY
千郁休閒農場,,,68000,蘆竹區,坑子里八德二路288號,False,True,False,茶工廠,91.0,5069,"workshop: from gov description text only, lower confidence"
向陽休閒農場,,,68000,觀音區,藍埔里11鄰52號,False,True,True,向陽農場,124.0,T518,"site unreachable (SSL error) — workshop/restaurant from gov description text only, lower confidence"
圓康休閒農場,,,68000,龍潭區,大平里民治十六街87巷49弄71號,False,False,False,民治七街口,,,Nearest stop confirmed by Leon 2026-09-20: 民治七街口 (Minzhi 7th St. Intersection)
大吾疆莊園休閒農場(皇家薇庭),,,68000,桃園區,莊敬路二段369號,False,False,False,銀店埤,158.0,L111,no web presence found
大溪花海休閒農場,,,68000,大溪區,復興路一段1093巷29號,False,False,False,慈湖,201.0,501; 502; 506,site unreachable (server error)
好時節休閒農場,Goodtimes,from own site title,68000,大溪區,康莊路三段225號,False,True,True,頂埔尾,279.0,5110; 5110A,
富田香草休閒農場,Tomita,unverified — own brand name used on site,68000,大溪區,福安里頭寮一路29巷59號,True,True,True,頭寮城,326.0,5097,
小人國休閒農場(ARCADIA覓秘午憩),,,68000,龍潭區,高原路980號,False,False,False,高原,55.0,5653,no web presence found
小木屋休閒農場,,,68000,蘆竹區,坑子村貓尾崎12鄰1-6號,False,False,False,愛民,608.0,5071; 5071B,no info found beyond gov listing
山裡生活自然休閒農場,,,68000,復興區,大窩路601號,False,False,False,蝙蝠洞,972.0,5107; 5107A; 5107B; 5107C,no web presence found
康田休閒農場,,,68000,大溪區,瑞源里落羽松路100號,False,False,False,配銷所,203.0,5044; 5050; 5056; 725,no web presence found
戀戀空港灣休閒農場,,,68000,蘆竹區,坑口里小古山路183-1號,True,False,False,出水坑,961.0,5020,"cafe: from gov description text only, lower confidence"
捷美休閒農場,,,68000,觀音區,大堀里6鄰新華路二段41號,False,True,True,大堀活動中心,,,Nearest stop confirmed by Leon 2026-09-20: 大堀活動中心
曦之麗休閒農場,,,68000,楊梅區,楊梅照門道路,False,False,False,八方園餐廳,767.0,L615,no web presence found
林家古厝休閒農場,,,68000,觀音區,大富路221號,False,True,True,大田蓮園,301.0,T513; T518,workshop/restaurant: own site (shared w/ 捷美)
桃蘆坑休閒農場,,,68000,蘆竹區,山林路三段855-1號,False,False,True,土地公口,65.0,5071; 5071B,"restaurant: from gov description text only, lower confidence"
樺音山莊休閒農場,,,68000,復興區,三民里基國派路162巷230號,False,False,False,王厝,525.0,5107; 5107B; 5107C; F906,no web presence found
水月休閒農場(水悅莊園),,,68000,中壢區,三民里大享街218號,False,False,False,中大湖,342.0,133; 133A; 173,no web presence found
江陵日觀休閒農場,,,68000,楊梅區,西高山頂15-2號,False,False,False,童話森林社區,544.0,L613,their link is broken/dead
泉園休閒農場,,,68000,蘆竹區,坑口里小古山路183號,False,False,False,出水坑,923.0,5020,no web presence found
海灣星空休閒農場,,,68000,蘆竹區,小古山路38號,False,False,False,蘆竹老人長期照顧中心,1479.0,L309; L309A; L309B,"their listed URL now points to a different, unrelated farm — data may be stale"
石門森林休閒農場,,,68000,大溪區,三層段阿姆坪小段,False,True,False,阿姆坪碼頭,66.0,5099; 5099A,"workshop: from gov description text only, lower confidence"
