FarmNm_CH,FarmNm_EN,FarmNm_JP,Feature_CH,Feature_EN,Feature_JP,CertifySDate,CertifyEDate,TEL,FAX,PCode,County,Township,Address_CH,Address_EN,Address_JP,WebURL,Longitude,Latitude,IdentifyItem,Photo
晁陽綠能休閒農場(附設田媽媽班),,,晁陽綠能休閒農場致力於推廣太陽能發電與農業發展共榮的模組，不僅以友善土地的方式生產安心農產品，更發展六級化農業，種植、加工及品牌經營，提升農業的價值。同時申設休閒農場並推動環境教育，打造以綠能、綠農及綠色教育為根基的綠色經濟平台，朝著深耕永續的目標邁進；除推出以體驗及實踐ESG的活動方案，亦提供戶外教育、食農教育、農事體驗及導覽、農藝手做DIY、餐飲宴會、露營住宿等多樣服務。。晁陽綠能休閒農場-ESG農電共榮。建議遊程。《綠光尋寶一日遊》。「綠能」跟「農業」如何在ESG太陽能農場激盪出火...,,,1150901,1150930,(05)6938238,(05)6938249,638,10009,麥寮鄉,興華村興華路32號,,,https://www.solarfarm.com.tw/,120.297076,23.751210,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1392/480x360_vbn1h8mvppj1kpr4cbjcsgytkvfgsy6y.jpg
三富休閒農場(紫森林),Sanfu Leisure Farm(三富休閒農場),,【目前僅開放住客入園，暫停一日遊及入園參觀】。三富休閒農場設立於1989年，佔地面積約14公頃，緊鄰仁山植物園及新寮瀑布，景緻天然怡人，生態景觀豐富而特殊，四季各具不同風情，營業項目有：特色餐飲、休閒住宿、會議研習、高空繩索、自然旅遊、套裝行程、環境教育、創意DIY。。三富休閒農場自成立以來，秉持對土地與生態環境保護的熱忱，結合四季時令，讓各種植物與昆蟲，保持其自然的食物鏈關係，利用自然生態工法維持生態平衡。這塊土地自轉型休閒農場以來，常年不使用農藥及化學肥料，以尊重環境倫理的方式，讓園內作...,Founded in 1989， Sanfu Leisure Farm is situated near Renshan Botanical Garden and Sinliao Waterfall with an area of approximately 10 hectares. The beautiful scenery there includes lime flowers， pomelo flowers， purple peonies， Chinese mulberry， and cinnamon flowers， as well as mountain spring water， butterflies， and a variety of cute animals.。Bind pieces of paper into fabric book covers to make a one-of-a-kind handmade book. Or you can paint gourds， wooden clogs， frog piggy banks， or taste some ...,,1150901,1150930,(03)9588690,(03)9588753,269,10002,冬山鄉,中山村新寮二路161巷88號,No. 82， Ln. 161， Xinliao 2nd Rd.， Zhongshan Vil.,,https://www.sanfufarm.com.tw/,121.754694,24.617375,體驗,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25819/480x360_agrispots-image--i0uqxsgseicmbf12-ztpa.jpg
仙湖休閒農場(仙湖農場),Fairy Lake Leisure Farm(仙湖休閒農場),,台南東山的「仙湖休閒農場」除了有好吃的料理之外，還有絕美景觀與電視劇拍攝熱門景點，很值得到品美食賞美景。。農場內種植了龍眼、荔枝、咖啡等各類果樹，還有山茼蒿、山蘇等野菜，餐廳內的料理不論是主食或者是甜點都運用當地當季蔬果製作， 以傳統烹調結合創意作法呈現食物本身風味，包含森林排餐、田園燒雞以及龍眼冰淇淋等，都是必嘗美食。。農場還另外設立自助野菜川燙灶，當季新鮮現採的野菜讓客人依照自己的喜好挑選，再沾上自製的橄欖醬，風味中帶著爽口的橄欖微酸，野菜輕燙後新鮮清甜；點餐方式分成「案食」以及「桌餐」...,Fairy Lake Leisure Farm is in Nanshi Village， Dongshan District， with an area of 52 hectares. It is rainy in summer and dry in winter here， which is good for the growth of longan trees-- the longan fruits are big while the seeds small. Little rain in winter enhances the sweetness of the fruits； eating the pulpy texture of the flesh is really an enjoyment.。 。The Tian Ma Ma utilizes the sweet and warm properties of longan to add flavors to the dishes and nurture the body. The popular &ldquo；Long...,,1150901,1150930,(06)6863635,(06)6863662,733,67000,東山區,南勢村1鄰賀老寮6-2號,No. 6-2， Dayang， Nanshi Village,,https://www.senwho.com.tw/,120.482290,23.265934,餐飲,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25795/480x360_agrispots-image-x9xtlqfvvuonape6ecv_vw.jpg
千里光藥園休閒農場,,,千里光藥園休閒農場,,,1150901,1150930,(03)9284349,,260,10002,宜蘭市,大坡路二段131巷53號,,,,121.742088,24.777033,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25352/480x360_agrispots-image-zyy_v0lxh0y-rx7zq2wqsg.jpg
祥居雅舍休閒農場,,,祥居雅舍休閒農場。祥居雅舍位在宜蘭縣有名的蔥蒜之鄉「三星鄉大隱村」，屬於典型的鄉村民宿，民宿四周景物平疇廣闊、群山疊翠，舉目望去美麗景緻盡入眼簾，隨著四季的變化，更有一番風情。。祥居雅舍的主人，於五年前一家從台中回到故鄉宜蘭發展，因十多年來未曾仔細欣賞蘭陽的朝夕晨昏之美，也未曾仔細享受空氣中傳來淡淡的芳草香，瞬間覺得彷彿來到世外桃源般，而讓他們有了在此建立屬於自己家園的夢想，夫妻兩人從構思到完成，花了將近三年的時間，精心打造出田園鄉野間夢想的農舍別墅，這裡沒有城巿中的喧擾，只有鳥叫蟲鳴，屋外...,,,1150901,1150930,(03)9890996,,266,10002,三星鄉,大隱村大隱中路255巷17號,,,https://shop.okgo.tw/2289/,121.717443,24.667347,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/118/480x360_20151117111413.jpg
阿連休閒農場,,,阿連休閒農場。位於苗栗大湖鄉、台3線上的「阿連休閒農場」，才一進入農場的休息小屋，就可見到掛滿牆面的獎牌及獎狀，以及數十篇接受採訪的報導文章，在在證明阿連休閒農場的主人絕對是農業界的高手。。阿連休閒農場最有名氣的是高接幸水梨，一般來說，幸水梨的果肉帶有淡淡甜味，外觀都是呈現淡褐色，不過在主人的細心照顧下，阿連休閒農場的幸水梨永遠就是比別人更大、更甜蜜，而這更成為農場吸引人的重要關鍵。。擁有特等獎的「阿連休閒農場」，所使用的是德國及各類高級有機肥料，即使每年僅有2個月的採果季節，仍勤勞施肥並...,,,1150901,1150930,(037)951111,,364,10005,大湖鄉,栗林村13鄰內雙坑6號,,,,120.833693,24.373984,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/163/480x360_20151119151225.jpg
捷美休閒農場,,,農場位居觀音區各蓮園之中心，為遊客遊覽觀音蓮園之中繼站。遠在路旁就可見到農場入口處兩邊的羅漢松及茶花樹，1-3月茶花開滿了走道邊，6月份百子蓮開，7-8月份蓮花在水裡盛開，8月份可採收蓮子及剝蓮子DIY活動，尚可觀賞夕陽下美麗的白千層，園內種植有待售的花卉盆栽，有香草植物、百子蓮、石蓮花及太陽花等，形成了繽紛的花草世界。本農場以結合自然、休閒生活、農業體驗為經營理念，提供遊客欣賞自然景觀、享受農業體驗活動之農場。(農場採預約制)7、8月份荷花,,,1150901,1150930,(03)2824225,,328,68000,觀音區,大堀里6鄰新華路二段41號,,,https://lin-jia.com/,0,0,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/3014/480x360_p5austptv9kjm1jimq44pai6wd8tgxr0.jpg
蘭城花事休閒農場,,,蘭城花事休閒農場。利用各種系統和花卉讓遊客可以透過視覺、聽覺、嗅覺、味覺及觸覺五感來體驗花卉。讓您享受休閒浪漫的花田咖啡、創意盆栽、押花DIY、漂流木設計、花卉天婦羅，讓花與咖啡陪您度過悠閒的每個時光。。門票：。$100/人，可抵消費。營業時間。週一至週六，8:30~18:00。公休日：無。營運服務。提供焢窯、漂流木花藝創作體驗，花草手工餅乾製作等體驗活動；提供預約服務（10人以上提供體驗，請提前3天前預約）,,,1150901,1150930,(03)9229990,,264,10002,員山鄉,惠深二路一段87號,,,,121.726129,24.721397,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25362/480x360_agrispots-image-_jhjy1nyk0gsnmlbmkympw.jpg
全勝休閒農場,,,全勝休閒農場。四季如夏，適合各地旅客遊玩的全勝休閒農場。一年四季氣候怡人，再加上農場主人細心的呵護、照料，每年橘子都能結成豐碩果實。每年自11月起開始採收，分別有椪柑、砂糖橘、桶柑，皮薄汁多，物美價廉，目前不開放體驗採果，若想要嚐嚐美味的橘子，可來電訂購哦！每年產季開始前，即會公告相關訂購訊息。,,,1150901,1150930,(037)661373,,351,10005,頭份市,成功里永安街340巷16號,,,,120.911518,24.698565,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
火炭谷休閒農場,,,火炭谷休閒農場。火炭谷休閒農場是一個以木炭為主題的休閒農場，於93年通過審核成為苗栗縣內第一家申請合法的體驗型休閒農場。隨後結合谷巴休閒渡假村內的軟硬體設施等成為更完備及更具競爭力的休閒農場。,,,1150901,1150930,(037)540039,,361,10005,造橋鄉,造橋村錦成東路 8-5號,,,,120.869991,24.641529,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/147/480x360_20151113103134.jpg
