FarmNm_CH,FarmNm_EN,County,Township,Address_CH,Longitude,Latitude,WebURL,NearestStopName,NearestStopDistanceMeters,Routes
晁陽綠能休閒農場(附設田媽媽班),,10009,麥寮鄉,興華村興華路32號,120.297076,23.751210,https://www.solarfarm.com.tw/,,,
三富休閒農場(紫森林),Sanfu Leisure Farm(三富休閒農場),10002,冬山鄉,中山村新寮二路161巷88號,121.754694,24.617375,https://www.sanfufarm.com.tw/,,,
仙湖休閒農場(仙湖農場),Fairy Lake Leisure Farm(仙湖休閒農場),67000,東山區,南勢村1鄰賀老寮6-2號,120.482290,23.265934,https://www.senwho.com.tw/,內埔仔,703,黃7
千里光藥園休閒農場,,10002,宜蘭市,大坡路二段131巷53號,121.742088,24.777033,,,,
祥居雅舍休閒農場,,10002,三星鄉,大隱村大隱中路255巷17號,121.717443,24.667347,https://shop.okgo.tw/2289/,,,
阿連休閒農場,,10005,大湖鄉,栗林村13鄰內雙坑6號,120.833693,24.373984,,,,
捷美休閒農場,,68000,觀音區,大堀里6鄰新華路二段41號,0,0,https://lin-jia.com/,蚵間里福興宮,13102242,5031A; L602; L602A; L603; L603A; L617
蘭城花事休閒農場,,10002,員山鄉,惠深二路一段87號,121.726129,24.721397,,,,
全勝休閒農場,,10005,頭份市,成功里永安街340巷16號,120.911518,24.698565,,,,
火炭谷休閒農場,,10005,造橋鄉,造橋村錦成東路 8-5號,120.869991,24.641529,,,,
月眉休閒農場（停業中）,,10002,羅東鎮,新群里富農路三段240巷33號,121.800635,24.669872,https://www.moonlife.com.tw,,,
優生美地休閒農場,,10013,車城鄉,溫泉路57-26號,120.74606,22.09075,https://usmd.com.tw,,,
客家鄉下人休閒農場,,10005,三灣鄉,永和村北坑8鄰22之8號,120.924522,24.637164,https://goo.gl/RS4pv6,,,
三灣星光休閒農場,,10005,竹南鎮,,120.930260,24.630529,,,,
明昇生態休閒農場,,10004,北埔鄉,南埔村5鄰番婆坑6-2號,121.042591,24.674855,,,,
沐雲山莊休閒農場,,10005,大湖鄉,栗林村11鄰白石下11號,120.823443,24.375689,,,,
